こめ　［水稲穀粒］　精白米　うるち米　,6.1,0.9,77.6,15.58,286.23
こめ　［水稲穀粒］　精白米　もち米　,6.4,1.2,77.2,16.12,295.22
こめ　［水稲穀粒］　精白米　インディカ米　,7.5,0.8,79.1,18.05,186.23
こめ　［水稲穀粒］　はいが精米　　,6.5,2.0,75.8,26.88,421.26000000000005
こめ　［水稲穀粒］　発芽玄米　　,6.5,3.3,74.3,25.86,578.2
こめ　［水稲めし］　玄米　　,2.8,1.0,35.6,17.04,318.56000000000006
こめ　［水稲めし］　半つき米　　,2.7,0.6,36.4,9.51,158.61
こめ　［水稲めし］　七分つき米　　,2.6,0.5,36.7,7.16,133.47
こめ　［水稲めし］　精白米　うるち米　,2.5,0.3,37.1,4.0,105.14999999999998
こめ　［水稲めし］　精白米　もち米　,3.5,0.5,43.9,5.06,104.50999999999999
こめ　［水稲めし］　はいが精米　　,2.7,0.6,36.4,8.82,179.67999999999998
こめ　［水稲めし］　発芽玄米　　,3.0,1.4,35.0,9.03,259.34
こめ　［水稲全かゆ］　玄米　　,1.2,0.4,15.2,5.65,120.99
こめ　［水稲全かゆ］　半つき米　　,1.1,0.3,15.5,2.9099999999999997,52.709999999999994
こめ　［水稲全かゆ］　七分つき米　　,1.1,0.2,15.6,2.4499999999999997,42.629999999999995
こめ　［水稲全かゆ］　精白米　　,1.1,0.1,15.7,1.5300000000000002,43.489999999999995
こめ　［水稲五分かゆ］　玄米　　,0.6,0.2,7.6,2.8200000000000003,59.550000000000004
こめ　［水稲五分かゆ］　半つき米　　,0.6,0.1,7.7,1.4000000000000001,26.349999999999998
こめ　［水稲五分かゆ］　七分つき米　　,0.6,0.1,7.7,1.27,21.220000000000002
こめ　［水稲五分かゆ］　精白米　　,0.5,0.1,7.9,1.1500000000000001,22.2
こめ　［水稲おもゆ］　玄米　　,0.4,0.1,4.4,1.5300000000000002,35.34
こめ　［水稲おもゆ］　半つき米　　,0.3,0.1,4.6,1.26,16.19
こめ　［水稲おもゆ］　七分つき米　　,0.3,0.1,4.6,1.1400000000000001,12.17
こめ　［水稲おもゆ］　精白米　　,0.3,0.0,4.7,0.13,18.15
こめ　［陸稲穀粒］　玄米　　,10.1,2.7,71.1,38.97,644.6999999999999
こめ　［陸稲穀粒］　半つき米　　,9.6,1.8,72.9,25.41,435.38000000000005
こめ　［陸稲穀粒］　七分つき米　　,9.5,1.5,73.4,20.11,354.81
こめ　［陸稲穀粒］　精白米　　,9.3,0.9,74.5,14.18,215.01000000000002
こめ　［陸稲めし］　玄米　　,4.1,1.0,34.3,14.540000000000001,283.29
こめ　［陸稲めし］　半つき米　　,3.8,0.6,35.3,8.31,123.46000000000001
こめ　［陸稲めし］　七分つき米　　,3.6,0.5,35.7,6.26,97.35000000000001
こめ　［陸稲めし］　精白米　　,3.5,0.3,36.1,3.5,74.05999999999999
こめ　［うるち米製品］　アルファ化米　一般用　,6.0,1.0,84.8,8.870000000000001,203.51999999999998
こめ　［うるち米製品］　アルファ化米　学校給食用強化品　,6.0,1.0,84.8,9.24,203.51999999999998
こめ　［うるち米製品］　おにぎり　　,2.7,0.3,39.4,4.02,79.17999999999998
こめ　［うるち米製品］　焼きおにぎり　　,3.1,0.3,39.5,7.77,192.37
こめ　［うるち米製品］　きりたんぽ　　,3.2,0.4,46.2,4.67,93.32000000000001
こめ　［うるち米製品］　上新粉　　,6.2,0.9,78.5,15.5,298.74
こめ　［うるち米製品］　玄米粉　　,7.1,2.9,84.1,20.229999999999997,777.5899999999999
こめ　［うるち米製品］　米粉　　,6.0,0.7,81.9,9.58,126.42999999999999
こめ　［うるち米製品］　米粉パン　　,3.4,3.1,51.3,32.949999999999996,154.6
こめ　［うるち米製品］　米粉めん　　,3.6,0.7,58.4,4.989999999999999,116.83
こめ　［うるち米製品］　ビーフン　　,7.0,1.6,79.9,5.369999999999999,157.69
こめ　［うるち米製品］　米こうじ　　,5.8,1.7,59.2,77.67,217.10000000000002
こめ　［もち米製品］　もち　　,4.0,0.6,50.8,5.209999999999999,122.71
